EP_train_inference:0:  15%|| 310/2084 [18:55<1:46:04,  3.59s/it]
avg_loss: 4.639063835144043, avg_ce_loss: 2.6390585899353027, avg_contrast_loss: 2.0000054836273193
avg_loss: 4.639060974121094, avg_ce_loss: 2.6390576362609863, avg_contrast_loss: 2.0000033378601074
avg_loss: 4.639060974121094, avg_ce_loss: 2.639057159423828, avg_contrast_loss: 2.0000038146972656
avg_loss: 4.639064788818359, avg_ce_loss: 2.639059066772461, avg_contrast_loss: 2.0000061988830566
avg_loss: 4.639064311981201, avg_ce_loss: 2.639059066772461, avg_contrast_loss: 2.0000052452087402
avg_loss: 4.639060974121094, avg_ce_loss: 2.6390576362609863, avg_contrast_loss: 2.0000038146972656
avg_loss: 4.6390604972839355, avg_ce_loss: 2.639057159423828, avg_contrast_loss: 2.0000033378601074
avg_loss: 4.639062881469727, avg_ce_loss: 2.6390581130981445, avg_contrast_loss: 2.000004768371582
avg_loss: 4.63906192779541, avg_ce_loss: 2.6390576362609863, avg_contrast_loss: 2.000004291534424
avg_loss: 4.639063835144043, avg_ce_loss: 2.6390581130981445, avg_contrast_loss: 2.0000054836273193
avg_loss: 4.639062881469727, avg_ce_loss: 2.6390578746795654, avg_contrast_loss: 2.0000052452087402
avg_loss: 4.639062404632568, avg_ce_loss: 2.6390576362609863, avg_contrast_loss: 2.000004529953003
avg_loss: 4.639066696166992, avg_ce_loss: 2.639059543609619, avg_contrast_loss: 2.000007390975952
avg_loss: 4.63906192779541, avg_ce_loss: 2.6390583515167236, avg_contrast_loss: 2.0000035762786865
